가감	ㄱㅏㄱㅏㅁ	더하거나 뺌.
역도	ㅇㅕㄱㄷㅗ	누가 더 무거운 역기를 들어 올리는지 겨루는 경기.
역류	ㅇㅕㄱㄹㅠ	액체나 기체 등이 거꾸로 거슬러 오르거나 흐름.
역사	ㅇㅕㄱㅅㅏ	인간 사회가 시간이 지남에 따라 흥하고 망하면서 변해 온 과정. 또는 그 기록.
역서	ㅇㅕㄱㅅㅓ	한 해 동안의 천체의 운동이나 절기, 기상 변화 등을 날의 순서에 따라 적은 책.
역주	ㅇㅕㄱㅈㅜ	번역과 주석.
연가	ㅇㅕㄴㄱㅏ	직장에서 직원들에게 일 년에 일정한 기간을 쉬도록 해 주는 휴가.
연고	ㅇㅕㄴㄱㅗ	피부에 발라서 병이나 상처를 치료하는 약.
연구	ㅇㅕㄴㄱㅜ	어떤 사물이나 일에 관련된 사실을 밝히기 위해 그에 대해 자세히 조사하고 분석하는 일.
연기	ㅇㅕㄴㄱㅣ	정해진 시기를 뒤로 미룸.
연도	ㅇㅕㄴㄷㅗ	어떤 일이 일어난 시기를 말하기 위해 편의상 구분한 일 년의 기간.
연두	ㅇㅕㄴㄷㅜ	새해의 시작.
연료	ㅇㅕㄴㄹㅛ	태워서 빛이나 열을 내거나 기계를 움직이는 에너지를 얻을 수 있는 물질.
연루	ㅇㅕㄴㄹㅜ	다른 사람이 저지른 범죄에 관련됨.
연리	ㅇㅕㄴㄹㅣ	일 년을 단위로 계산하는 이자나 이율.
연마	ㅇㅕㄴㅁㅏ	금속이나 돌 등을 갈고 닦아 표면을 반질반질하게 함.
연모	ㅇㅕㄴㅁㅗ	이성을 사랑하여 몹시 그리워함.
연보	ㅇㅕㄴㅂㅗ	사람이 평생 동안 지낸 일을 시간 순서대로 적은 글.
연비	ㅇㅕㄴㅂㅣ	자동차가 일정한 양의 연료를 써서 움직이는 거리.
연사	ㅇㅕㄴㅅㅏ	연설하는 사람.
연서	ㅇㅕㄴㅅㅓ	한 문서에 두 사람 이상이 잇따라 서명함.
연소	ㅇㅕㄴㅅㅗ	물질이 산소와 결합하여 열과 빛을 내는 현상.
연수	ㅇㅕㄴㅅㅜ	지식이나 기술 등을 배우고 연구함.
연시	ㅇㅕㄴㅅㅣ	잘 익어 물렁물렁한 감.
연어	ㅇㅕㄴㅇㅓ	두 개 이상의 단어가 결합하여 의미적으로 하나의 단위를 이루는 말.
연유	ㅇㅕㄴㅇㅠ	우유를 진공 상태에서 농축한 것.
연주	ㅇㅕㄴㅈㅜ	악기를 다루어 음악을 들려줌.
연차	ㅇㅕㄴㅊㅏ	나이나 햇수의 차례.
연초	ㅇㅕㄴㅊㅗ	새해의 처음 무렵.
연타	ㅇㅕㄴㅌㅏ	계속 이어서 치거나 때림.
연하	ㅇㅕㄴㅎㅏ	자기보다 나이가 적음. 또는 그런 사람.
연호	ㅇㅕㄴㅎㅗ	이름이나 구호 등을 계속 외침.
연휴	ㅇㅕㄴㅎㅠ	휴일이 이틀 이상 계속됨. 또는 그 휴일.
열거	ㅇㅕㄹㄱㅓ	여러 가지 예나 사실 등을 하나하나 죽 늘어놓음.
열기	ㅇㅕㄹㄱㅣ	뜨거운 기운.
열녀	ㅇㅕㄹㄴㅕ	남편에 대한 절개를 지킨 여자.
열도	ㅇㅕㄹㄷㅗ	길게 줄지어 있는 여러 개의 섬.
열무	ㅇㅕㄹㅁㅜ	잎이 연해서 뿌리보다 잎을 주로 이용하여 김치 등을 담그는 어린 무.
열부	ㅇㅕㄹㅂㅜ	죽은 아내를 사랑하는 마음을 굳게 지켜 다시 결혼하지 않은 남자.
열사	ㅇㅕㄹㅅㅏ	나라를 위해 싸우다 목숨을 바친 사람.
열차	ㅇㅕㄹㅊㅏ	여러 개의 칸을 길게 이어 놓은 기차나 전철.
염두	ㅇㅕㅁㄷㅜ	마음의 속.
염려	ㅇㅕㅁㄹㅕ	앞으로 생길 일에 대해 불안해하고 걱정함. 또는 그런 걱정.
염료	ㅇㅕㅁㄹㅛ	옷감 등에 색깔을 들이는 물질.
염소	ㅇㅕㅁㅅㅗ	소보다 작고 뿔이 있으며 몸의 색깔은 갈색, 검은색, 흰색 등인, 가축으로 기르는 동물.
염주	ㅇㅕㅁㅈㅜ	불교에서 아미타불을 부르거나 불경을 욀 때 손으로 돌리며 횟수를 세는, 작은 알들이 둥글게 꿰어져 있는 도구.
염치	ㅇㅕㅁㅊㅣ	체면을 차릴 줄 알거나 부끄러움을 아는 마음.
엽기	ㅇㅕㅂㄱㅣ	비정상적이고 괴상한 일이나 사물에 흥미를 느끼고 찾아다님.
엽서	ㅇㅕㅂㅅㅓ	보내는 사람과 받는 사람의 주소, 편지의 내용을 한 장에 적어서 우편으로 보낼 수 있도록 만들어진 용지.
영구	ㅇㅕㅇㄱㅜ	시간이 오래 지나도 변하지 않고 무한히 계속됨.
영리	ㅇㅕㅇㄹㅣ	재산상의 이익을 얻음.
영미	ㅇㅕㅇㅁㅣ	영국과 미국.
영사	ㅇㅕㅇㅅㅏ	외국에서 있으면서 자기 나라의 무역에 관한 일과 외국에 있는 자기 나라 국민을 보호하는 일을 하는 공무원.
영서	ㅇㅕㅇㅅㅓ	강원도에서 대관령 서쪽에 있는 지역.
영시	ㅇㅕㅇㅅㅣ	영어로 쓴 시.
영아	ㅇㅕㅇㅇㅏ	젖을 먹는 아주 어린 아이.
영어	ㅇㅕㅇㅇㅓ	영국과 미국 등 세계적으로 가장 널리 쓰이는 언어.
영주	ㅇㅕㅇㅈㅜ	한곳에서 오래 삶.
영지	ㅇㅕㅇㅈㅣ	중세 유럽의 봉건 제도에서 영주가 지배권을 가지고 영향력을 미치는 지역.
영토	ㅇㅕㅇㅌㅗ	한 국가의 땅.
영하	ㅇㅕㅇㅎㅏ	섭씨 0도 이하인 온도.
예고	ㅇㅕㅣㄱㅗ	어떤 일이 일어나기 전에 미리 알림.
예보	ㅇㅕㅣㅂㅗ	앞으로 일어날 일을 미리 알림. 또는 그런 보도.
예비	ㅇㅕㅣㅂㅣ	필요할 때 쓰기 위하여 미리 마련하거나 갖추어 놓음.
예사	ㅇㅕㅣㅅㅏ	보통 흔하게 있는 일.
예수	ㅇㅕㅣㅅㅜ	기독교의 창시자(?기원전 4~?서기 30). 처녀 마리아에게 성령으로 잉태되어 태어났으며 복음을 전파하다가 십자가에 못 박혀 죽었다. 죽은 지 사흘 만에 부활하여 그 뒤 승천하였다고 한다.
예시	ㅇㅕㅣㅅㅣ	예를 들어 보임.
예우	ㅇㅕㅣㅇㅜ	예의를 지켜 정중하게 대함.
예치	ㅇㅕㅣㅊㅣ	돈이나 물건을 은행이나 기관 등에 맡겨 둠.
오감	ㅇㅗㄱㅏㅁ	눈, 귀, 코, 혀, 피부로 느끼는 다섯 가지 감각.
오경	ㅇㅗㄱㅕㅇ	하룻밤을 다섯으로 나눈 시각.
오곡	ㅇㅗㄱㅗㄱ	다섯 가지 중요한 곡식.
오금	ㅇㅗㄱㅡㅁ	무릎을 구부렸을 때 오목하게 들어간 부분.
오늘	ㅇㅗㄴㅡㄹ	지금 지나가고 있는 이날.
오답	ㅇㅗㄷㅏㅂ	잘못된 대답을 함. 또는 그 대답.
오독	ㅇㅗㄷㅗㄱ	잘못 읽거나 틀리게 읽음.
오동	ㅇㅗㄷㅗㅇ	높이는 15m 정도이고 잎이 아주 크고 둥근, 가구나 악기를 만드는 데에 주로 쓰이는 나무.
오락	ㅇㅗㄹㅏㄱ	여유 시간에 기분을 즐겁게 하기 위하여 하는 여러 가지 놀이.
오만	ㅇㅗㅁㅏㄴ	잘난 체하고 건방짐. 또는 그런 태도나 행동.
오명	ㅇㅗㅁㅕㅇ	실수나 잘못 등을 해서 더러워지고 부끄럽게 된 이름이나 명예.
오물	ㅇㅗㅁㅜㄹ	지저분하고 더러운 쓰레기나 대소변 같은 배설물.
오발	ㅇㅗㅂㅏㄹ	총이나 대포 등을 잘못 쏨.
오복	ㅇㅗㅂㅗㄱ	오래 살고, 재산이 많고, 건강하고, 덕이 많고, 편안히 죽는, 유교에서 말하는 다섯 가지의 복.
오븐	ㅇㅗㅂㅡㄴ	위, 아래, 양옆에서 열을 가해 음식을 익히는 조리 기구.
오빠	ㅇㅗㅂㅂㅏ	여자가 형제나 친척 형제들 중에서 자기보다 나이가 많은 남자를 이르거나 부르는 말.
오산	ㅇㅗㅅㅏㄴ	잘못 계산함. 또는 잘못된 계산.
오심	ㅇㅗㅅㅣㅁ	잘못 심판함. 또는 그런 심판.
오역	ㅇㅗㅇㅕㄱ	잘못 번역함. 또는 잘못된 번역.
오열	ㅇㅗㅇㅕㄹ	목메어 욺. 또는 목메어 우는 울음.
오염	ㅇㅗㅇㅕㅁ	더러운 상태가 됨.
오욕	ㅇㅗㅇㅛㄱ	명예를 더럽혀 부끄럽고 수치스럽게 만듦.
오용	ㅇㅗㅇㅛㅇ	잘못 사용함.
오인	ㅇㅗㅇㅣㄴ	잘못 생각하거나 잘못 봄.
오입	ㅇㅗㅇㅣㅂ	남자가 자기 아내가 아닌 다른 여자와 성관계를 가짐.
오장	ㅇㅗㅈㅏㅇ	간장, 심장, 비장, 폐장, 신장의 다섯 가지 내장.
오전	ㅇㅗㅈㅓㄴ	아침부터 낮 열두 시까지의 동안.
오점	ㅇㅗㅈㅓㅁ	더러운 점.
오존	ㅇㅗㅈㅗㄴ	특유의 냄새가 나며 표백제, 살균제 등으로 쓰는 푸른빛의 기체.
오줌	ㅇㅗㅈㅜㅁ	혈액 속의 노폐물과 수분이 요도를 통하여 몸 밖으로 배출되는, 누렇고 지린내가 나는 액체.
오진	ㅇㅗㅈㅣㄴ	병을 잘못 진단하는 일. 또는 그런 진단.
오찬	ㅇㅗㅊㅏㄴ	보통 때보다 잘 차려서 손님을 대접하는 점심 식사.
오촌	ㅇㅗㅊㅗㄴ	부모님의 사촌이나 사촌의 자식과의 친족 관계. 또는 그런 관계에 있는 사람.
오판	ㅇㅗㅍㅏㄴ	잘못 보거나 잘못 판단함. 또는 잘못된 판단.
오한	ㅇㅗㅎㅏㄴ	몸에 열이 나면서 춥고 떨리는 증상.
오해	ㅇㅗㅎㅏㅣ	어떤 것을 잘못 알거나 잘못 해석함.
옥고	ㅇㅗㄱㄱㅗ	(높이는 말로) 다른 사람의 훌륭한 원고.
옥니	ㅇㅗㄱㄴㅣ	안으로 오그라져 난 이.
옥사	ㅇㅗㄱㅅㅏ	죄를 짓고 감옥에 갇혀 살다가 감옥에서 죽음.
옥토	ㅇㅗㄱㅌㅗ	양분이 많아 농작물이 잘 자라는 땅.
온기	ㅇㅗㄴㄱㅣ	따뜻한 기운.
온도	ㅇㅗㄴㄷㅗ	따뜻하고 차가운 정도. 또는 그것을 나타내는 수치.
온수	ㅇㅗㄴㅅㅜ	따뜻한 물.
온유	ㅇㅗㄴㅇㅠ	성격이나 태도 등이 따뜻하고 부드러움.
올무	ㅇㅗㄹㅁㅜ	새나 짐승을 잡는 데 쓰는 고리 모양의 장치.
올벼	ㅇㅗㄹㅂㅕ	보통 익는 시기보다 더 일찍 익는 벼.
옹기	ㅇㅗㅇㄱㅣ	진흙으로 만들어 구운 그릇.
옹호	ㅇㅗㅇㅎㅗ	편들고 도움을 주어 지킴.
외가	ㅇㅗㅣㄱㅏ	어머니의 친정.
외교	ㅇㅗㅣㄱㅛ	다른 나라와 정치적, 경제적, 문화적 관계를 맺는 일.
외도	ㅇㅗㅣㄷㅗ	올바르지 않은 일.
외모	ㅇㅗㅣㅁㅗ	사람의 겉으로 보이는 모양.
외무	ㅇㅗㅣㅁㅜ	다른 나라와 정치적, 경제적, 문화적 관계를 맺는 일에 관한 사무.
외부	ㅇㅗㅣㅂㅜ	밖이 되는 부분.
외서	ㅇㅗㅣㅅㅓ	다른 나라의 글로 쓰인 책.
외야	ㅇㅗㅣㅇㅑ	야구에서 본루, 1루, 2루, 3루를 연결한 선 뒤쪽의 파울 라인 안의 지역.
외자	ㅇㅗㅣㅈㅏ	‘외국 자본’을 줄여 이르는 말.
외조	ㅇㅗㅣㅈㅗ	아내가 사회적인 활동을 잘할 수 있도록 남편이 도와줌.
외주	ㅇㅗㅣㅈㅜ	자기 회사의 일부 작업을 다른 회사에 맡김. 또는 그런 일.
외지	ㅇㅗㅣㅈㅣ	자기가 사는 곳 바깥의 동네나 지역.
외투	ㅇㅗㅣㅌㅜ	점퍼나 코트처럼 추위를 막기 위해 겉에 입는 옷.
외표	ㅇㅗㅣㅍㅛ	사람의 겉모양.
외피	ㅇㅗㅣㅍㅣ	과일이나 채소 등의 겉을 둘러싸고 있는 것.
요강	ㅇㅛㄱㅏㅇ	놋쇠나 사기 등으로 만들어 방에 두고 오줌을 누는 그릇.
요건	ㅇㅛㄱㅓㄴ	급하고 중요한 일이나 의논할 것.
요괴	ㅇㅛㄱㅗㅣ	사람에게 해를 끼치는 귀신.
요금	ㅇㅛㄱㅡㅁ	시설을 쓰거나 구경을 하는 값으로 내는 돈.
요담	ㅇㅛㄷㅏㅁ	요번의 바로 뒤에 이어져 오는 때나 차례.
요동	ㅇㅛㄷㅗㅇ	흔들려 움직임. 또는 흔들어 움직임.
요란	ㅇㅛㄹㅏㄴ	어수선하고 시끄러움.
요람	ㅇㅛㄹㅏㅁ	아기를 태우고 흔들어 놀게 하거나 재우는, 바구니처럼 생긴 물건.
요량	ㅇㅛㄹㅑㅇ	앞으로 할 일을 잘 계산해 생각함. 또는 그런 생각.
요령	ㅇㅛㄹㅕㅇ	가장 중요하고 핵심이 되는 줄거리.
요망	ㅇㅛㅁㅏㅇ	간사하고 영악함.
요목	ㅇㅛㅁㅗㄱ	중요한 항목.
요물	ㅇㅛㅁㅜㄹ	괴상하고 기분 나쁜 것.
요번	ㅇㅛㅂㅓㄴ	곧 돌아오거나 이제 막 지나간 차례.
요법	ㅇㅛㅂㅓㅂ	병을 치료하는 방법.
요새	ㅇㅛㅅㅏㅣ	얼마 전부터 이제까지의 매우 짧은 동안.
요술	ㅇㅛㅅㅜㄹ	초자연적인 능력으로, 또는 사람의 눈을 속여 놀라운 일을 행함. 또는 그런 기술.
요식	ㅇㅛㅅㅣㄱ	반드시 따라야 하는 일정한 규정이나 방식.
요약	ㅇㅛㅇㅑㄱ	말이나 글에서 중요한 것을 골라 짧게 만듦.
요양	ㅇㅛㅇㅑㅇ	편안히 쉬면서 몸을 보살피고 병을 치료함.
요염	ㅇㅛㅇㅕㅁ	상대방의 정신을 흐리게 할 만큼 매우 아름다움.
요율	ㅇㅛㅇㅠㄹ	요금의 정도나 비율.
요의	ㅇㅛㅇㅡㅣ	오줌이 마려운 느낌.
요인	ㅇㅛㅇㅣㄴ	사물이나 사건 등이 성립되는 중요한 원인.
요일	ㅇㅛㅇㅣㄹ	일주일을 이루는 각각의 날.
요절	ㅇㅛㅈㅓㄹ	젊은 나이에 죽음.
요점	ㅇㅛㅈㅓㅁ	가장 중요하고 중심이 되는 사항.
요정	ㅇㅛㅈㅓㅇ	서양의 전설이나 동화에 나오는, 사람의 모습을 하고 신비로운 힘을 지닌 초자연적인 존재.
요즘	ㅇㅛㅈㅡㅁ	아주 가까운 과거부터 지금까지의 사이.
요직	ㅇㅛㅈㅣㄱ	중요한 직책이나 직위.
요철	ㅇㅛㅊㅓㄹ	오목함과 볼록함.
요청	ㅇㅛㅊㅓㅇ	필요한 일을 해 달라고 부탁함. 또는 그런 부탁.
요체	ㅇㅛㅊㅓㅣ	중요한 점.
요충	ㅇㅛㅊㅜㅇ	교통이나 상업, 군사적인 면에서 아주 중요한 지역.
요통	ㅇㅛㅌㅗㅇ	허리와 엉덩이 부위가 아픈 증상.
욕구	ㅇㅛㄱㄱㅜ	무엇을 얻거나 무슨 일을 하기를 바라는 것.
욕조	ㅇㅛㄱㅈㅗ	목욕을 하기 위해 물을 담는 큰 통.
용구	ㅇㅛㅇㄱㅜ	어떤 일을 하거나 물건을 만드는 데 쓰는 도구.
용기	ㅇㅛㅇㄱㅣ	겁이 없고 씩씩한 기운.
용도	ㅇㅛㅇㄷㅗ	쓰이는 곳이나 목적.
용모	ㅇㅛㅇㅁㅗ	사람의 얼굴 모양.
용무	ㅇㅛㅇㅁㅜ	해야 할 일.
용사	ㅇㅛㅇㅅㅏ	용감하고 씩씩한 사람.
용서	ㅇㅛㅇㅅㅓ	잘못이나 죄에 대하여 꾸중을 하거나 벌을 주지 않고 너그럽게 덮어 줌.
용수	ㅇㅛㅇㅅㅜ	어떤 일을 이루기 위해 수단을 부림. 또는 그 수단.
용어	ㅇㅛㅇㅇㅓ	어떤 분야에서 전문적으로 사용하는 말.
용지	ㅇㅛㅇㅈㅣ	어떤 일에 쓰는 종이.
우국	ㅇㅜㄱㅜㄱ	나라에 관한 일을 불안해하고 걱정함.
우군	ㅇㅜㄱㅜㄴ	자기와 같은 편인 군대.
우뇌	ㅇㅜㄴㅗㅣ	뇌의 오른쪽 부분.
우대	ㅇㅜㄷㅏㅣ	특별히 잘 대우함. 또는 그런 대우.
우동	ㅇㅜㄷㅗㅇ	면발이 굵은 국수. 또는 그것을 삶아서 국물과 함께 요리한 음식.
우둔	ㅇㅜㄷㅜㄴ	어리석고 행동이 느림.
우등	ㅇㅜㄷㅡㅇ	우수한 등급.
우량	ㅇㅜㄹㅑㅇ	품질이나 상태가 우수하고 좋음.
우레	ㅇㅜㄹㅓㅣ	대기 중에서 매우 큰 소리와 번개가 함께 나타나는 현상.
우롱	ㅇㅜㄹㅗㅇ	남을 어리석고 하찮게 여겨 함부로 대하거나 놀림.
우뢰	ㅇㅜㄹㅗㅣ	→ 우레
우문	ㅇㅜㅁㅜㄴ	어리석은 질문.
우물	ㅇㅜㅁㅜㄹ	물을 긷기 위해 땅을 파서 지하수가 모이도록 한 곳.
우민	ㅇㅜㅁㅣㄴ	어리석은 백성.
우박	ㅇㅜㅂㅏㄱ	큰 물방울들이 공중에서 찬 기운을 만나 얼음이 되어 떨어지는 덩어리.
우발	ㅇㅜㅂㅏㄹ	어떤 일이 우연히 일어남. 또는 우연히 일어난 일.
우방	ㅇㅜㅂㅏㅇ	서로 사이가 좋은 나라.
우범	ㅇㅜㅂㅓㅁ	범죄가 일어날 우려가 있음.
우산	ㅇㅜㅅㅏㄴ	긴 막대 위에 지붕 같은 막을 펼쳐서 비가 올 때 손에 들고 머리 위를 가리는 도구.
우상	ㅇㅜㅅㅏㅇ	나무, 돌, 흙 등으로 신이나 부처, 사람의 모양을 만든 것.
우선	ㅇㅜㅅㅓㄴ	다른 것에 앞서 특별하게 대우함.
우성	ㅇㅜㅅㅓㅇ	서로 다른 품종을 교배했을 때 우선적으로 나타나는 유전적 성질.
우세	ㅇㅜㅅㅓㅣ	남보다 힘이 강하거나 실력이 나음. 또는 그 힘이나 실력.
우송	ㅇㅜㅅㅗㅇ	우편으로 보냄.
우승	ㅇㅜㅅㅡㅇ	경기나 시합에서 상대를 모두 이겨 일 위를 차지함.
우애	ㅇㅜㅇㅏㅣ	형제 또는 친구 사이의 정과 사랑.
우엉	ㅇㅜㅇㅓㅇ	7월에 검은 자주색 또는 흰색의 꽃이 피며 뿌리와 어린잎을 먹는 풀. 또는 그 뿌리.
우연	ㅇㅜㅇㅕㄴ	마땅한 이유 없이 어쩌다가 일어난 일.
우열	ㅇㅜㅇㅕㄹ	나음과 못함.
우울	ㅇㅜㅇㅜㄹ	걱정 등으로 마음이 답답하여 활발한 기운이 없음.
우위	ㅇㅜㅇㅜㅣ	다른 사람보다 뛰어난 위치나 수준.
우의	ㅇㅜㅇㅡㅣ	친구나 형제 또는 두 집단 사이의 친밀한 감정과 의리.
우익	ㅇㅜㅇㅣㄱ	새나 비행기 등의 오른쪽 날개.
우정	ㅇㅜㅈㅓㅇ	친구 사이의 정.
우중	ㅇㅜㅈㅜㅇ	비가 오는 가운데. 또는 비가 올 때.
우측	ㅇㅜㅊㅡㄱ	사람이 북쪽을 보고 있을 때 동쪽과 같은 쪽.
우편	ㅇㅜㅍㅕㄴ	사람이 북쪽을 보고 있을 때 동쪽과 같은 쪽. 오른쪽.
우화	ㅇㅜㅎㅗㅏ	동식물이나 사물을 주인공으로 하여 교훈과 풍자의 뜻을 나타내는 이야기.
우회	ㅇㅜㅎㅗㅣ	바로 가지 않고 돌아서 감.
운구	ㅇㅜㄴㄱㅜ	시체를 넣은 관을 운반함.
운무	ㅇㅜㄴㅁㅜ	구름과 안개.
운소	ㅇㅜㄴㅅㅗ	소리의 높낮이, 길이, 세기 등과 같이 단어의 뜻을 다르게 하는 데 관여하는 소리의 단위.
운수	ㅇㅜㄴㅅㅜ	인간의 힘으로는 바꿀 수 없는, 이미 정해져 있는 인간의 운명.
운치	ㅇㅜㄴㅊㅣ	은근하고 그윽한 멋이 있는 분위기.
운하	ㅇㅜㄴㅎㅏ	배가 다니거나 물을 끌어 쓸 수 있도록 육지에 파 놓은 물길.
운휴	ㅇㅜㄴㅎㅠ	자동차, 기차, 비행기, 배 등이 정해진 길을 다니며 일하지 않고 쉼.
울보	ㅇㅜㄹㅂㅗ	잘 우는 아이.
웅비	ㅇㅜㅇㅂㅣ	힘차게 뻗어 나감.
웹	ㅇㅜㅓㅣㅂ	동영상이나 음성 등의 여러 정보 매체를 이용하는 인터넷.
위기	ㅇㅜㅣㄱㅣ	위험한 고비. 위험해서 아슬아슬한 순간.
위도	ㅇㅜㅣㄷㅗ	지구 위의 위치를 가로로 나타내는 것.
위로	ㅇㅜㅣㄹㅗ	따뜻한 말이나 행동 등으로 괴로움을 덜어 주거나 슬픔을 달래 줌.
위조	ㅇㅜㅣㅈㅗ	남을 속이려고 물건이나 문서를 진짜처럼 만듦.
위주	ㅇㅜㅣㅈㅜ	무엇을 가장 중요한 것으로 삼음.
위치	ㅇㅜㅣㅊㅣ	일정한 곳에 자리를 차지함. 또는 그 자리.
위트	ㅇㅜㅣㅌㅡ	말이나 글을 재미있고 재치 있게 잘 구사하는 능력.
유감	ㅇㅠㄱㅏㅁ	마음에 남아 있는 섭섭하거나 불만스러운 느낌.
유격	ㅇㅠㄱㅕㄱ	몰래 기회를 보아 적을 기습적으로 공격하는 일.
유곡	ㅇㅠㄱㅗㄱ	산속의 깊은 골짜기.
유골	ㅇㅠㄱㅗㄹ	죽은 사람을 태우고 남은 뼈. 또는 무덤 속에서 나온 뼈.
유과	ㅇㅠㄱㅗㅏ	쌀가루나 밀가루 반죽을 일정한 모양으로 빚어서 기름에 튀긴 후에 꿀이나 조청을 바르고 튀밥, 깨 등을 입힌 한국의 전통 과자.
유괴	ㅇㅠㄱㅗㅣ	돈 등을 요구할 목적으로, 주로 아이를 속여서 꾀어냄.
유급	ㅇㅠㄱㅡㅂ	일을 한 대가로 받는 돈이 있음.
유난	ㅇㅠㄴㅏㄴ	상태나 성격, 행동 등이 보통과 아주 다름.
유년	ㅇㅠㄴㅕㄴ	나이가 어린 때.
유대	ㅇㅠㄷㅏㅣ	둘 이상을 서로 이어 주거나 결합하게 하는 것. 또는 그런 관계.
유독	ㅇㅠㄷㅗㄱ	독이 있어 해로움.
유동	ㅇㅠㄷㅗㅇ	액체나 전류 등이 흘러 움직임.
유람	ㅇㅠㄹㅏㅁ	여러 곳을 돌아다니며 구경함.
유랑	ㅇㅠㄹㅏㅇ	일정하게 자리를 잡고 사는 곳이 없이 이리저리 떠돌아다님.
유래	ㅇㅠㄹㅏㅣ	사물이나 일이 생겨남. 또는 그 사물이나 일이 생겨난 내력.
유럽	ㅇㅠㄹㅓㅂ	아시아의 서북쪽에 있는 육대주의 하나. 우랄산맥을 사이에 두고 아시아와 접해 있으며 프랑스, 독일, 이탈리아 등의 나라가 위치한다.
유력	ㅇㅠㄹㅕㄱ	힘이나 재산이 있음.
유령	ㅇㅠㄹㅕㅇ	죽은 사람의 혼령.
유례	ㅇㅠㄹㅕㅣ	같거나 비슷한 예.
유린	ㅇㅠㄹㅣㄴ	남의 권리나 인격을 마구 억누르거나 짓밟음.
유림	ㅇㅠㄹㅣㅁ	유학을 따르고 공부하는 무리.
유망	ㅇㅠㅁㅏㅇ	앞으로 잘될 것 같은 희망이나 가능성이 있음.
유명	ㅇㅠㅁㅕㅇ	이름이 널리 알려져 있음.
유목	ㅇㅠㅁㅗㄱ	소나 양과 같은 가축이 먹을 풀과 물을 찾아 옮겨 다니면서 삶.
유물	ㅇㅠㅁㅜㄹ	앞선 시대에 살았던 사람들이 후대에 남긴 물건.
유발	ㅇㅠㅂㅏㄹ	어떤 것이 원인이 되어 다른 사건이나 현상을 일어나게 함.
유방	ㅇㅠㅂㅏㅇ	젖을 내보내기 위한 기관으로 포유류의 가슴이나 배에 달려 있는 볼록한 부분.
유배	ㅇㅠㅂㅏㅣ	(옛날에) 죄인에게 형벌을 주어 먼 시골이나 섬으로 보냄.
유별	ㅇㅠㅂㅕㄹ	서로 다름이 있음.
유분	ㅇㅠㅂㅜㄴ	어떤 것에 묻어 있거나 섞여 있는 기름기.
유산	ㅇㅠㅅㅏㄴ	배 속에 있는 아기가 달이 차기 전에 죽어서 나옴.
유상	ㅇㅠㅅㅏㅇ	어떤 행위에 대해 보상이 있음.
유선	ㅇㅠㅅㅓㄴ	미리 설치된 전선을 통한 방송이나 통신 방법.
유성	ㅇㅠㅅㅓㅇ	기름의 성질. 또는 기름의 성질을 띤 물건.
